mpirun  --map-by node --mca pml ucx --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
ct1pt-tnode008, ct1pt-tnode009
#lambda[usec] (computed) -> -5.09, bandwidth[Mbytes/sec] (computed) -> 12073.94
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       0.98             0                 -5.09                       -0
        1            1000       0.98          1.02                 -5.09                     -0.2
        2            1000       0.99          2.02                 -5.09                    -0.39
        4            1000       0.99          4.03                 -5.09                    -0.79
        8            1000       0.98          8.13                 -5.09                    -1.57
       16            1000       0.99         16.22                 -5.09                    -3.14
       32            1000       1.01         31.75                 -5.09                    -6.29
       64            1000       1.16         55.35                 -5.09                   -12.58
      128            1000        1.2        106.92                 -5.08                   -25.19
      256            1000       1.43        179.53                 -5.07                   -50.49
      512            1000       1.49        342.49                 -5.05                   -101.4
     1024            1000       1.66         616.9                 -5.01                  -204.51
     2048            1000       2.32        883.62                 -4.92                  -416.07
     4096            1000       3.18       1286.03                 -4.75                  -861.85
     8192            1000       4.46       1835.87                 -4.41                 -1856.21
    16384            1000       6.25       2622.63                 -3.73                 -4386.94
    32768            1000       8.45       3879.08                 -2.38                   -13782
    65536             640      12.34       5312.89                  0.34                   194664
   131072             320      18.59       7049.44                  5.77                  22735.1
   262144             160      31.92       8213.68                 16.62                  15770.7
   524288              80      54.27        9660.1                 38.34                    13676
  1048576              40      98.46       10649.5                 81.76                  12824.4
  2097152              20     181.98         11524                168.62                  12437.1
  4194304              10     353.43       11867.4                342.33                  12252.1
  8388608               5     692.79       12108.5                689.76                  12161.7
 16777216               2    1378.64       12169.4               1384.61                    12117
 33554432               1    2757.75       12167.3               2774.31                  12094.7
 67108864               1    5519.09       12159.4                5553.7                  12083.6
134217728               1    11005.8       12195.2               11112.5                  12078.1
268435456               1      22054       12171.7               22230.1                  12075.3
536870912               1    44585.3       12041.4               44465.3                  12073.9
